Percentage served,Time in ms
0,3.618
1,5.281
2,5.888
3,6.126
4,6.419
5,6.652
6,6.890
7,7.088
8,7.235
9,7.450
10,7.601
11,7.752
12,7.874
13,8.035
14,8.194
15,8.321
16,8.471
17,8.567
18,8.700
19,8.816
20,8.928
21,9.060
22,9.182
23,9.287
24,9.371
25,9.482
26,9.612
27,9.710
28,9.841
29,9.978
30,10.090
31,10.160
32,10.238
33,10.327
34,10.411
35,10.509
36,10.660
37,10.816
38,10.943
39,11.052
40,11.151
41,11.252
42,11.365
43,11.475
44,11.570
45,11.686
46,11.836
47,11.948
48,12.086
49,12.203
50,12.342
51,12.477
52,12.590
53,12.741
54,12.851
55,12.985
56,13.114
57,13.240
58,13.365
59,13.553
60,13.700
61,13.832
62,14.026
63,14.251
64,14.418
65,14.555
66,14.746
67,14.957
68,15.130
69,15.440
70,15.657
71,15.941
72,16.156
73,16.370
74,16.630
75,17.043
76,17.311
77,17.591
78,17.972
79,18.335
80,18.630
81,18.954
82,19.437
83,19.980
84,20.443
85,21.109
86,21.622
87,22.170
88,22.821
89,23.712
90,24.733
91,25.922
92,27.316
93,28.760
94,31.032
95,33.885
96,37.237
97,42.037
98,48.812
99,74.937
100,417.881
